customerid,risk_score,risk_band,churn_probability,tenure_months,contract,internet_service,monthly_charges
1216-BGTSP,48,Medium,0.4844,45,Month-to-month,Fiber optic,108.45
3069-SSVSN,48,Medium,0.4842,1,One year,DSL,25.85
0326-VDYXE,48,Medium,0.484,70,One year,Fiber optic,97.65
2812-SFXMJ,48,Medium,0.4839,1,Month-to-month,No,20.05
2623-DRYAM,48,Medium,0.4838,70,One year,Fiber optic,101.75
5285-MVEHD,48,Medium,0.4835,56,One year,Fiber optic,105.6
1049-FYSYG,48,Medium,0.4834,17,Month-to-month,DSL,35.65
4482-FTFFX,48,Medium,0.4833,5,Month-to-month,DSL,56.15
5370-IIVVL,48,Medium,0.483,37,One year,Fiber optic,104.5
7245-JMTTQ,48,Medium,0.4824,51,One year,Fiber optic,111.5
9681-KYGYB,48,Medium,0.4823,49,Month-to-month,Fiber optic,88.2
3137-LUPIX,48,Medium,0.482,4,Month-to-month,DSL,64.4
0060-FUALY,48,Medium,0.482,59,Month-to-month,Fiber optic,94.75
8679-LZBMD,48,Medium,0.4817,44,One year,Fiber optic,90.65
4256-ZWTZI,48,Medium,0.4815,5,Month-to-month,DSL,51.0
0080-OROZO,48,Medium,0.4815,35,One year,Fiber optic,99.25
7251-XFOIL,48,Medium,0.4813,61,Month-to-month,Fiber optic,89.2
5076-YVXCM,48,Medium,0.4811,51,Month-to-month,Fiber optic,83.4
2826-DXLQO,48,Medium,0.4809,7,Month-to-month,DSL,29.8
8069-YQQAJ,48,Medium,0.4807,14,Month-to-month,DSL,31.1
5046-NUHWD,48,Medium,0.4806,29,Month-to-month,DSL,45.0
2924-KHUVI,48,Medium,0.4804,56,One year,Fiber optic,100.55
0237-YFUTL,48,Medium,0.4798,50,Month-to-month,Fiber optic,109.65
6896-SRVYQ,48,Medium,0.4798,44,Month-to-month,Fiber optic,73.85
6646-JPPHA,48,Medium,0.4793,14,Month-to-month,Fiber optic,78.85
7064-FRRSW,48,Medium,0.4788,48,One year,Fiber optic,99.0
6486-LHTMA,48,Medium,0.4783,31,One year,Fiber optic,90.7
7636-OWBPG,48,Medium,0.478,12,Month-to-month,DSL,29.35
1866-OBPNR,48,Medium,0.4779,1,Month-to-month,Fiber optic,74.6
3620-MWJNE,48,Medium,0.4778,2,Month-to-month,DSL,54.45
0898-XCGTF,48,Medium,0.4777,61,One year,Fiber optic,96.5
9375-MHRRS,48,Medium,0.4772,6,Month-to-month,DSL,50.05
3898-GUYTS,48,Medium,0.4767,45,Month-to-month,Fiber optic,97.05
7128-GGCNO,48,Medium,0.4763,46,Month-to-month,Fiber optic,72.8
8885-QSQBX,48,Medium,0.4762,1,Month-to-month,DSL,49.55
6257-RJOHI,48,Medium,0.4755,4,Month-to-month,DSL,50.8
2272-UOINI,48,Medium,0.4754,7,Month-to-month,DSL,78.5
8313-KTIHG,48,Medium,0.4754,4,Month-to-month,DSL,61.3
5022-JNQEQ,48,Medium,0.4754,9,Month-to-month,Fiber optic,75.85
8535-SFUTN,48,Medium,0.4753,61,Month-to-month,Fiber optic,106.45
6569-KTMDU,48,Medium,0.4752,1,Month-to-month,No,19.1
6300-BWMJX,47,Medium,0.4746,59,Month-to-month,Fiber optic,93.35
5088-QZLRL,47,Medium,0.4744,1,Month-to-month,No,20.65
7302-ZHMHP,47,Medium,0.4743,1,Month-to-month,No,19.15
1784-EZDKJ,47,Medium,0.4742,51,One year,Fiber optic,106.8
3191-CSNMG,47,Medium,0.4739,3,Month-to-month,Fiber optic,80.7
1421-HCERK,47,Medium,0.4734,30,Month-to-month,Fiber optic,105.7
4070-OKWVH,47,Medium,0.4732,52,Month-to-month,Fiber optic,94.6
5141-ZUVBH,47,Medium,0.4725,9,Month-to-month,Fiber optic,93.0
8065-BVEPF,47,Medium,0.472,65,Month-to-month,Fiber optic,99.1
2267-FPIMA,47,Medium,0.472,50,Month-to-month,Fiber optic,94.4
1853-ARAAQ,47,Medium,0.4716,26,Month-to-month,DSL,50.35
0013-MHZWF,47,Medium,0.4716,9,Month-to-month,DSL,69.4
0215-BQKGS,47,Medium,0.4716,30,Month-to-month,Fiber optic,84.3
6733-LRIZX,47,Medium,0.4708,35,Two year,Fiber optic,108.95
0380-NEAVX,47,Medium,0.4707,34,One year,Fiber optic,99.85
4468-YDOVK,47,Medium,0.4706,5,Month-to-month,DSL,48.65
9097-ZUBYC,47,Medium,0.4702,14,Month-to-month,DSL,48.8
7009-LGECI,47,Medium,0.4692,4,Month-to-month,DSL,50.55
3842-QTGDL,47,Medium,0.4691,16,Month-to-month,Fiber optic,80.75
2522-AHJXR,47,Medium,0.469,60,Month-to-month,Fiber optic,109.45
2144-BFDSO,47,Medium,0.4689,50,Month-to-month,Fiber optic,108.75
8564-LDKFL,47,Medium,0.4689,40,One year,Fiber optic,106.0
1600-DILPE,47,Medium,0.4685,12,Month-to-month,DSL,45.0
7905-TVXTA,47,Medium,0.4681,5,Month-to-month,DSL,64.35
1941-HOSAM,47,Medium,0.4676,1,Month-to-month,Fiber optic,90.1
4976-LNFVV,47,Medium,0.4674,19,Month-to-month,DSL,34.3
6897-UUBNU,47,Medium,0.4672,29,Month-to-month,Fiber optic,89.65
2346-DJQTB,47,Medium,0.4672,35,Month-to-month,DSL,24.15
6029-CSMJE,47,Medium,0.4671,17,Month-to-month,DSL,25.65
3583-KRKMD,47,Medium,0.4663,18,Month-to-month,Fiber optic,75.9
4360-QRAVE,47,Medium,0.4662,37,Month-to-month,DSL,36.65
1724-IQWNM,47,Medium,0.4662,1,Month-to-month,No,19.3
5133-VRSAB,47,Medium,0.466,8,Month-to-month,DSL,29.35
7398-LXGYX,47,Medium,0.4658,44,Month-to-month,Fiber optic,84.8
9494-BDNNC,47,Medium,0.4653,66,One year,Fiber optic,95.3
6898-MDLZW,47,Medium,0.4651,12,Month-to-month,DSL,53.75
3373-YZZYM,46,Medium,0.4648,1,Month-to-month,No,19.2
5966-EMAZU,46,Medium,0.4647,64,One year,Fiber optic,108.5
6008-NAIXK,46,Medium,0.4645,54,One year,DSL,55.45
7075-BNDVQ,46,Medium,0.4643,4,Month-to-month,DSL,35.0
6645-MXQJT,46,Medium,0.4641,2,Month-to-month,Fiber optic,97.1
1763-WQFUK,46,Medium,0.464,3,Month-to-month,DSL,50.5
5071-FBJFS,46,Medium,0.4637,4,Month-to-month,DSL,50.3
8008-ESFLK,46,Medium,0.4637,53,One year,Fiber optic,110.5
4524-QCSSM,46,Medium,0.4636,26,Month-to-month,DSL,44.65
9659-ZTWSM,46,Medium,0.4635,66,One year,Fiber optic,107.35
5630-AHZIL,46,Medium,0.4634,3,Month-to-month,DSL,64.5
7789-HKSBS,46,Medium,0.4632,42,One year,Fiber optic,105.2
3946-JEWRQ,46,Medium,0.4631,47,One year,Fiber optic,95.2
0899-WZRSD,46,Medium,0.4631,56,Month-to-month,Fiber optic,105.35
7251-LJBQN,46,Medium,0.4629,40,One year,Fiber optic,103.75
2267-WTPYD,46,Medium,0.4624,57,Month-to-month,Fiber optic,94.0
6952-OMNWB,46,Medium,0.4616,68,Month-to-month,Fiber optic,80.35
7501-VTYLJ,46,Medium,0.4615,2,Month-to-month,DSL,51.55
5188-HGMLP,46,Medium,0.4614,54,Month-to-month,Fiber optic,74.0
8455-HIRAQ,46,Medium,0.4611,8,Month-to-month,DSL,44.45
6537-OTKMY,46,Medium,0.461,15,One year,DSL,50.75
4402-FTBXC,46,Medium,0.4607,54,Month-to-month,Fiber optic,89.8
3694-DELSO,46,Medium,0.4605,4,Month-to-month,DSL,38.55
7272-QDCKA,46,Medium,0.4604,28,One year,Fiber optic,100.2
0003-MKNFE,46,Medium,0.4601,9,Month-to-month,DSL,59.9
2826-UWHIS,46,Medium,0.4597,45,Month-to-month,Fiber optic,81.4
2773-OVBPK,46,Medium,0.4592,67,Two year,Fiber optic,111.3
8904-OPDCK,46,Medium,0.4592,54,Month-to-month,DSL,24.95
2307-FYNNL,46,Medium,0.4591,65,Two year,Fiber optic,109.05
4130-MZLCC,46,Medium,0.4583,5,Month-to-month,DSL,50.55
4026-SKKHW,46,Medium,0.4582,3,Month-to-month,DSL,50.25
5173-WXOQV,46,Medium,0.4577,2,Month-to-month,DSL,64.2
2731-GJRDG,46,Medium,0.4573,32,One year,Fiber optic,109.55
6128-DAFVY,46,Medium,0.4573,56,Month-to-month,DSL,44.85
9142-KZXOP,46,Medium,0.4569,44,Month-to-month,Fiber optic,68.85
9169-BSVIN,46,Medium,0.4568,12,Month-to-month,DSL,74.75
2806-MLNTI,46,Medium,0.4567,52,One year,Fiber optic,105.1
4450-YOOHP,46,Medium,0.4567,39,Month-to-month,DSL,50.65
2883-ILGWO,46,Medium,0.4566,57,Month-to-month,Fiber optic,104.9
0916-QOFDP,46,Medium,0.4566,14,Month-to-month,Fiber optic,95.8
0471-ARVMX,46,Medium,0.4565,62,One year,Fiber optic,104.85
9873-MNDKV,46,Medium,0.4564,11,Month-to-month,DSL,44.65
2325-WINES,46,Medium,0.4557,32,One year,Fiber optic,104.05
4007-NHVHI,46,Medium,0.4557,56,Month-to-month,Fiber optic,96.85
9389-ACWBI,46,Medium,0.4556,5,Month-to-month,Fiber optic,69.95
7389-KBFIT,46,Medium,0.4551,2,Month-to-month,DSL,30.25
5981-ZVXOT,46,Medium,0.4551,35,One year,Fiber optic,108.35
1217-VASWC,45,Medium,0.4547,43,One year,Fiber optic,100.55
0999-QXNSA,45,Medium,0.4544,7,Month-to-month,DSL,45.75
1803-BGNBD,45,Medium,0.4542,12,Month-to-month,DSL,54.3
7966-YOTQW,45,Medium,0.4539,10,Month-to-month,DSL,54.5
0365-TRTPY,45,Medium,0.4537,37,Month-to-month,Fiber optic,91.2
4080-IIARD,45,Medium,0.4534,13,Month-to-month,DSL,76.2
3144-KMTWZ,45,Medium,0.4533,71,Month-to-month,Fiber optic,93.25
8671-KKKOS,45,Medium,0.4526,46,Month-to-month,DSL,45.55
9591-YVTEB,45,Medium,0.4524,55,Month-to-month,DSL,44.85
5447-WZAFP,45,Medium,0.4521,53,One year,Fiber optic,100.3
5334-JLAXU,45,Medium,0.4517,60,Month-to-month,Fiber optic,94.1
4391-LNRXK,45,Medium,0.4516,22,Month-to-month,Fiber optic,94.95
1698-XFZCI,45,Medium,0.4515,61,One year,Fiber optic,107.75
8190-ZTQFB,45,Medium,0.4515,41,One year,DSL,51.35
1051-GEJLJ,45,Medium,0.4515,2,Month-to-month,No,19.5
8868-GAGIO,45,Medium,0.4514,45,Month-to-month,Fiber optic,84.55
2798-NYLMZ,45,Medium,0.4513,71,Two year,Fiber optic,108.55
3308-MHOOC,45,Medium,0.4513,1,Month-to-month,No,19.2
0856-NAOES,45,Medium,0.4511,6,Month-to-month,DSL,60.9
1548-FEHVL,45,Medium,0.4509,61,Month-to-month,Fiber optic,106.2
7950-XWOVN,45,Medium,0.4506,11,Month-to-month,DSL,34.7
7103-IPXPJ,45,Medium,0.4505,50,One year,Fiber optic,99.4
2257-BOVXD,45,Medium,0.4494,14,Month-to-month,DSL,66.6
2615-YVMYX,45,Medium,0.4488,71,Month-to-month,Fiber optic,107.5
5868-YTYKS,45,Medium,0.4487,1,Month-to-month,No,20.25
3893-JRNFS,45,Medium,0.4484,68,Month-to-month,DSL,39.9
1656-DRSMG,45,Medium,0.4484,63,Month-to-month,Fiber optic,109.85
6578-KRMAW,45,Medium,0.4483,32,Month-to-month,Fiber optic,93.4
2853-CWQFQ,45,Medium,0.448,1,Month-to-month,DSL,59.55
7203-OYKCT,45,Medium,0.4479,72,One year,Fiber optic,104.95
9842-EFSYY,45,Medium,0.4471,4,Month-to-month,DSL,57.2
5527-ACHSO,45,Medium,0.4471,11,Month-to-month,DSL,70.5
6728-VOIFY,45,Medium,0.4464,63,One year,Fiber optic,96.0
9644-UMGQA,45,Medium,0.4461,6,Month-to-month,DSL,49.15
4685-ERGHK,45,Medium,0.4458,57,One year,Fiber optic,86.9
8250-ZNGGW,44,Medium,0.4449,5,Month-to-month,DSL,59.9
5939-XAIXZ,44,Medium,0.4448,19,Month-to-month,DSL,56.1
3689-MOZGR,44,Medium,0.4448,29,Month-to-month,DSL,31.2
6629-LADHQ,44,Medium,0.4448,2,Month-to-month,DSL,50.95
0567-GGCAC,44,Medium,0.4443,7,Month-to-month,DSL,61.4
0295-QVKPB,44,Medium,0.4442,5,Month-to-month,DSL,63.95
8329-UTMVM,44,Medium,0.444,27,One year,Fiber optic,104.65
3452-SRFEG,44,Medium,0.4437,49,Month-to-month,Fiber optic,74.6
4010-YLMVT,44,Medium,0.4437,56,Month-to-month,Fiber optic,106.6
8755-IWJHN,44,Medium,0.4436,69,Month-to-month,Fiber optic,95.35
5816-SCGFC,44,Medium,0.4434,7,Month-to-month,DSL,51.3
7018-WBJNK,44,Medium,0.4429,13,Month-to-month,Fiber optic,78.3
4824-GUCBY,44,Medium,0.4419,22,Month-to-month,Fiber optic,81.7
2988-GBIVW,44,Medium,0.4418,70,Month-to-month,Fiber optic,90.85
6572-ADKRS,44,Medium,0.4418,46,Month-to-month,Fiber optic,74.8
1442-BQPVU,44,Medium,0.4416,13,Month-to-month,DSL,29.15
5701-ZIKJE,44,Medium,0.4406,13,Month-to-month,DSL,50.55
2828-SLQPF,44,Medium,0.4405,19,Month-to-month,DSL,45.0
2700-LUEVA,44,Medium,0.4405,1,Month-to-month,No,20.75
0691-NIKRI,44,Medium,0.4401,40,One year,Fiber optic,105.95
3170-GWYKC,44,Medium,0.4398,60,Month-to-month,Fiber optic,104.95
6333-YDVLT,44,Medium,0.4397,65,One year,Fiber optic,110.0
5201-FRKKS,44,Medium,0.4396,25,Month-to-month,Fiber optic,74.3
9708-KFDBY,44,Medium,0.4394,1,Month-to-month,No,20.55
6344-SFJVH,44,Medium,0.4392,20,Month-to-month,DSL,24.9
8677-HDZEE,44,Medium,0.4391,56,Month-to-month,Fiber optic,105.45
6821-JPCDC,44,Medium,0.439,48,One year,Fiber optic,97.05
7748-UMTRK,44,Medium,0.4388,30,Month-to-month,Fiber optic,101.3
2858-EIMXH,44,Medium,0.4388,53,One year,Fiber optic,95.85
8963-JLGJT,44,Medium,0.4385,3,Month-to-month,DSL,55.9
3729-OWRVL,44,Medium,0.4381,65,Two year,Fiber optic,110.35
6786-OBWQR,44,Medium,0.4379,5,Month-to-month,Fiber optic,80.85
3890-RTCMS,44,Medium,0.4378,16,Month-to-month,DSL,49.45
1986-PHGZF,44,Medium,0.4376,18,Month-to-month,DSL,58.4
2712-SYWAY,44,Medium,0.4375,1,Month-to-month,No,25.7
7905-NJMXS,44,Medium,0.4375,7,Month-to-month,DSL,64.2
7634-WSWDB,44,Medium,0.4374,8,Month-to-month,DSL,38.5
5402-HTOTQ,44,Medium,0.4373,16,Month-to-month,DSL,55.3
5730-RIITO,44,Medium,0.4372,43,Month-to-month,DSL,33.45
5168-MSWXT,44,Medium,0.4371,8,Month-to-month,Fiber optic,94.75
8734-DKSTZ,44,Medium,0.4371,10,Month-to-month,Fiber optic,85.95
4987-GQWPO,44,Medium,0.437,17,Month-to-month,DSL,25.1
9828-QHFBK,44,Medium,0.4367,24,Month-to-month,DSL,51.15
9643-YBLUR,44,Medium,0.4365,9,Month-to-month,DSL,69.05
1347-KTTTA,44,Medium,0.4364,64,One year,Fiber optic,102.45
0130-SXOUN,44,Medium,0.4362,66,Month-to-month,Fiber optic,89.4
8023-QHAIO,44,Medium,0.4361,56,Month-to-month,Fiber optic,76.85
8799-OXZMD,44,Medium,0.4351,28,Month-to-month,DSL,29.75
2542-HYGIQ,43,Medium,0.4348,1,Month-to-month,No,19.95
0100-DUVFC,43,Medium,0.4345,70,One year,Fiber optic,104.8
2432-TFSMK,43,Medium,0.434,18,One year,Fiber optic,89.6
3780-YVMFA,43,Medium,0.4339,8,Month-to-month,DSL,68.55
7521-AFHAB,43,Medium,0.4338,5,Month-to-month,DSL,44.8
6137-MFAJN,43,Medium,0.4337,48,Month-to-month,DSL,44.8
1394-SUIUH,43,Medium,0.4336,44,Month-to-month,Fiber optic,85.15
1685-VAYJF,43,Medium,0.4336,11,Month-to-month,DSL,45.2
8095-WANWK,43,Medium,0.4335,10,Month-to-month,DSL,45.25
5243-SAOTC,43,Medium,0.4334,54,Month-to-month,Fiber optic,79.85
8388-FYNPZ,43,Medium,0.4334,4,Month-to-month,DSL,56.75
4819-HJPIW,43,Medium,0.4332,18,Month-to-month,DSL,25.15
0880-FVFWF,43,Medium,0.4332,56,Month-to-month,Fiber optic,86.4
4177-JPDFU,43,Medium,0.4324,12,Month-to-month,DSL,34.0
6345-HOVES,43,Medium,0.4322,34,Month-to-month,DSL,25.05
2195-VVRJF,43,Medium,0.432,18,Month-to-month,DSL,59.1
4393-RYCRE,43,Medium,0.4318,44,One year,Fiber optic,106.05
0463-ZSDNT,43,Medium,0.4317,10,Month-to-month,DSL,56.75
8952-WCVCD,43,Medium,0.4309,41,One year,Fiber optic,104.45
2305-MRGLV,43,Medium,0.4301,28,Month-to-month,Fiber optic,76.55
9795-VOWON,43,Medium,0.4299,7,One year,DSL,24.35
1848-LBZHY,43,Medium,0.4296,7,Month-to-month,DSL,50.3
7766-CLTIC,43,Medium,0.4295,10,Month-to-month,DSL,60.95
0512-FLFDW,43,Medium,0.4292,60,One year,Fiber optic,100.5
0575-CUQOV,43,Medium,0.429,60,One year,Fiber optic,97.95
4753-PADAS,43,Medium,0.429,67,One year,Fiber optic,105.7
6627-CFOSN,43,Medium,0.4288,59,Month-to-month,Fiber optic,99.45
3113-IWHLC,43,Medium,0.4287,5,Month-to-month,DSL,55.8
1422-DGUBX,43,Medium,0.4285,32,One year,Fiber optic,79.25
7426-GSWPO,43,Medium,0.428,64,Month-to-month,Fiber optic,103.5
3090-QFUVD,43,Medium,0.4273,1,Month-to-month,No,20.3
2716-GFZOR,43,Medium,0.4272,43,Month-to-month,Fiber optic,86.1
1020-JPQOW,43,Medium,0.4268,56,Month-to-month,Fiber optic,90.55
5349-AZPEW,43,Medium,0.4268,5,Month-to-month,DSL,25.05
5651-CPDND,43,Medium,0.4267,10,Month-to-month,DSL,46.0
0895-LMRSF,43,Medium,0.4265,23,One year,DSL,64.9
1230-QAJDW,43,Medium,0.4265,3,Month-to-month,DSL,65.25
4918-FYJNT,43,Medium,0.4264,55,Month-to-month,Fiber optic,90.45
6549-NNDYT,43,Medium,0.4264,13,Month-to-month,DSL,30.85
2212-LYASK,43,Medium,0.4257,27,One year,DSL,45.85
0409-WTMPL,43,Medium,0.4255,58,One year,Fiber optic,110.65
6199-IWKGC,43,Medium,0.4253,46,One year,Fiber optic,100.25
1465-LNTLJ,43,Medium,0.4251,8,Month-to-month,DSL,64.4
1976-AZZPJ,42,Medium,0.425,7,Month-to-month,DSL,34.2
3256-EZDBI,42,Medium,0.425,51,Month-to-month,DSL,29.45
2599-CZABP,42,Medium,0.4245,14,One year,DSL,44.6
3645-DEYGF,42,Medium,0.4241,1,Month-to-month,No,20.75
5172-MIGPM,42,Medium,0.4238,4,Month-to-month,DSL,65.55
2927-QRRQV,42,Medium,0.4235,46,One year,Fiber optic,94.65
1907-YLNYW,42,Medium,0.4233,8,Month-to-month,DSL,66.7
6633-SYEUS,42,Medium,0.423,23,Month-to-month,Fiber optic,83.2
9505-SQFSW,42,Medium,0.4229,3,Month-to-month,DSL,40.3
4476-OSWTN,42,Medium,0.4229,69,One year,Fiber optic,110.55
8623-ULFNQ,42,Medium,0.4228,26,Month-to-month,DSL,66.05
5140-FOMCQ,42,Medium,0.4218,59,One year,Fiber optic,109.15
2452-SNHFZ,42,Medium,0.4217,47,Month-to-month,Fiber optic,75.45
4672-FOTSD,42,Medium,0.4217,12,Month-to-month,DSL,67.25
8107-RZLNV,42,Medium,0.4214,72,Two year,Fiber optic,106.3
5568-DMXZS,42,Medium,0.4212,8,Month-to-month,DSL,65.45
5198-EFNBM,42,Medium,0.4212,57,One year,Fiber optic,90.65
5701-SVCWR,42,Medium,0.4211,1,Month-to-month,No,24.0
0319-QZTCO,42,Medium,0.4209,3,Month-to-month,DSL,58.7
8992-VONJD,42,Medium,0.4209,13,Month-to-month,DSL,56.0
6218-KNUBD,42,Medium,0.4201,6,Month-to-month,DSL,59.45
1360-XFJMR,42,Medium,0.42,67,One year,Fiber optic,109.7
1767-TGTKO,42,Medium,0.42,8,Month-to-month,DSL,45.45
4673-KKSLS,42,Medium,0.4199,31,Month-to-month,Fiber optic,87.6
2045-BMBTJ,42,Medium,0.4198,33,Month-to-month,DSL,59.45
4480-MBMLB,42,Medium,0.4197,36,One year,Fiber optic,104.8
6284-KMNUF,42,Medium,0.4197,56,One year,Fiber optic,98.0
5832-TRLPB,42,Medium,0.4195,29,One year,DSL,75.35
6429-SHBCB,42,Medium,0.4194,19,Month-to-month,DSL,69.6
9547-ITEFG,42,Medium,0.4193,9,Month-to-month,Fiber optic,102.6
2576-HXMPA,42,Medium,0.4192,1,Month-to-month,No,19.55
9052-VKDUW,42,Medium,0.4192,65,Month-to-month,Fiber optic,109.4
5311-IHLEI,42,Medium,0.4192,12,Month-to-month,DSL,50.95
0106-GHRQR,42,Medium,0.419,16,Month-to-month,DSL,71.4
3873-NFTGI,42,Medium,0.4189,14,Month-to-month,DSL,55.5
0356-ERHVT,42,Medium,0.4188,11,Month-to-month,DSL,45.9
9396-ZSFLL,42,Medium,0.4184,15,Month-to-month,DSL,48.85
8562-GHPPI,42,Medium,0.418,1,Month-to-month,No,19.8
5149-TGWDZ,42,Medium,0.4176,21,One year,Fiber optic,104.55
0931-MHTEM,42,Medium,0.4175,54,One year,Fiber optic,100.05
9391-YZEJW,42,Medium,0.4168,62,One year,Fiber optic,94.0
1024-KPRBB,42,Medium,0.4167,38,One year,Fiber optic,89.1
2709-UQGNP,42,Medium,0.4167,10,Month-to-month,DSL,51.65
6217-TOWGS,42,Medium,0.4167,17,Month-to-month,DSL,75.4
7921-LMDFQ,42,Medium,0.4164,51,One year,Fiber optic,94.0
2252-JHJGE,42,Medium,0.4162,61,One year,Fiber optic,104.0
7351-KYHQH,42,Medium,0.4154,7,Month-to-month,DSL,64.95
9896-UYMIE,42,Medium,0.415,66,One year,Fiber optic,114.3
4869-EPIUS,41,Medium,0.4146,56,One year,Fiber optic,80.9
7879-CGSFV,41,Medium,0.4142,55,One year,Fiber optic,100.9
6807-SIWJI,41,Medium,0.4137,38,One year,Fiber optic,104.85
8905-IAZPF,41,Medium,0.4133,69,One year,Fiber optic,95.65
4003-FUSHP,41,Medium,0.413,19,Month-to-month,DSL,61.55
1335-HQMKX,41,Medium,0.4128,72,One year,Fiber optic,101.35
8495-LJDFO,41,Medium,0.4125,64,Month-to-month,Fiber optic,108.95
5433-KYGHE,41,Medium,0.4124,14,Month-to-month,Fiber optic,86.0
5215-LNLDJ,41,Medium,0.4123,7,Month-to-month,DSL,24.7
7402-PWYJJ,41,Medium,0.4122,53,One year,Fiber optic,91.15
5533-RJFTJ,41,Medium,0.4119,49,Month-to-month,DSL,30.2
0308-GIQJT,41,Medium,0.4119,71,One year,Fiber optic,105.75
0867-LDTTC,41,Medium,0.4115,5,Month-to-month,DSL,75.15
3186-AJIEK,41,Medium,0.4115,66,Two year,Fiber optic,105.65
0487-RPVUM,41,Medium,0.4115,61,Month-to-month,Fiber optic,99.4
7740-KKCXF,41,Medium,0.4113,51,Month-to-month,DSL,30.05
1919-RTPQD,41,Medium,0.4112,7,Month-to-month,DSL,44.75
5934-RMPOV,41,Medium,0.4111,22,Month-to-month,Fiber optic,84.75
0956-ACVZC,41,Medium,0.411,54,One year,Fiber optic,94.1
3606-SBKRY,41,Medium,0.411,31,One year,DSL,50.05
1304-SEGFY,41,Medium,0.4107,72,Two year,Fiber optic,97.85
6854-EXGSF,41,Medium,0.4106,8,Month-to-month,DSL,65.5
2220-IAHLS,41,Medium,0.4101,1,Month-to-month,No,19.4
0734-OXWBT,41,Medium,0.4101,3,Month-to-month,DSL,70.7
0484-FFVBJ,41,Medium,0.4098,32,One year,DSL,64.85
3511-APPBJ,41,Medium,0.4094,23,One year,Fiber optic,99.95
4109-CYRBD,41,Medium,0.4091,29,Month-to-month,DSL,51.6
8706-HRADD,41,Medium,0.4091,21,Month-to-month,DSL,43.55
1810-BOHSY,41,Medium,0.409,51,One year,Fiber optic,96.4
6723-WSNTY,41,Medium,0.4089,66,One year,Fiber optic,108.1
0851-DFJKB,41,Medium,0.4089,15,Month-to-month,DSL,58.95
4280-DLSHD,41,Medium,0.4088,8,Month-to-month,DSL,54.75
6067-NGCEU,41,Medium,0.4085,65,Month-to-month,Fiber optic,111.05
7821-DPRQE,41,Medium,0.4078,68,Month-to-month,Fiber optic,107.7
3090-LETTY,41,Medium,0.4078,2,Month-to-month,DSL,60.95
5286-YHCVC,41,Medium,0.4077,72,Two year,Fiber optic,104.8
7516-GMHUV,41,Medium,0.4074,50,Two year,Fiber optic,105.05
4282-MSACW,41,Medium,0.4073,68,One year,Fiber optic,117.2
7964-VEXDG,41,Medium,0.4072,21,Month-to-month,Fiber optic,80.35
3858-XHYJO,41,Medium,0.4068,40,One year,Fiber optic,105.75
6184-DYUOB,41,Medium,0.4067,3,Month-to-month,No,19.6
2284-VFLKH,41,Medium,0.4066,49,One year,Fiber optic,99.25
5443-SCMKX,41,Medium,0.4066,58,One year,Fiber optic,94.3
4822-LPTYJ,41,Medium,0.4066,72,Two year,Fiber optic,103.75
6341-AEVKX,41,Medium,0.4064,62,One year,Fiber optic,104.3
3941-XTSKM,41,Medium,0.4063,42,One year,DSL,45.1
0314-TKOSI,41,Medium,0.4059,6,Month-to-month,DSL,55.15
0277-BKSQP,41,Medium,0.4056,8,Month-to-month,DSL,54.4
5360-LJCNJ,40,Medium,0.4048,71,Two year,Fiber optic,105.15
5542-DHSXL,40,Medium,0.4047,4,Month-to-month,DSL,54.7
4832-VRBMR,40,Medium,0.4043,65,One year,Fiber optic,103.15
2019-HDCZY,40,Medium,0.4042,63,Two year,Fiber optic,102.6
6968-MHOMU,40,Medium,0.4036,58,One year,DSL,45.0
6713-OKOMC,40,Medium,0.4034,10,Month-to-month,DSL,29.75
2673-CXQEU,40,Medium,0.4034,56,One year,Fiber optic,110.5
2791-SFVEW,40,Medium,0.403,9,Month-to-month,No,20.15
1564-HJUVY,40,Medium,0.4029,4,Month-to-month,DSL,63.75
9099-FTUHS,40,Medium,0.4029,23,Month-to-month,DSL,54.4
0481-SUMCB,40,Medium,0.4026,45,One year,Fiber optic,102.15
7718-UPSKJ,40,Medium,0.4024,69,One year,Fiber optic,106.4
1548-ARAGG,40,Medium,0.4024,4,Month-to-month,DSL,58.5
9943-VSZUV,40,Medium,0.4023,67,Month-to-month,Fiber optic,75.7
0804-XBFBV,40,Medium,0.4018,11,Month-to-month,DSL,25.2
8118-TJAFG,40,Medium,0.4018,9,Month-to-month,Fiber optic,101.5
7159-FVYPK,40,Medium,0.4014,3,Month-to-month,DSL,69.15
1703-MGIAB,40,Medium,0.4013,17,Month-to-month,DSL,69.0
2882-DDZPG,40,Medium,0.401,12,Month-to-month,No,19.45
9700-ZCLOT,40,Medium,0.4008,2,Month-to-month,No,20.0
0186-CAERR,40,Medium,0.4006,71,One year,Fiber optic,116.3
6806-YDEUL,40,Medium,0.4001,6,Month-to-month,No,19.5
6583-SZVGP,40,Medium,0.3999,48,Two year,Fiber optic,108.1
5206-HPJKM,40,Medium,0.3997,17,Month-to-month,DSL,55.5
8166-ORCHU,40,Medium,0.3988,33,One year,Fiber optic,93.55
8267-KFGYD,40,Medium,0.3987,1,Month-to-month,No,21.05
3071-VBYPO,40,Medium,0.3986,3,Month-to-month,Fiber optic,89.85
0330-BGYZE,40,Medium,0.3984,60,One year,Fiber optic,102.5
7693-QPEFS,40,Medium,0.3983,52,Month-to-month,Fiber optic,72.95
