rank,CustomerID,risk_score,risk_band,churn_probability,Tenure Months,Contract,Internet Service,Monthly Charges,recommended_actions
1,4912-PIGUY,94,High,0.9361,1,Month-to-month,Fiber optic,84.6,Offer a term contract; Add Online Security (incentive)
233,8720-RQSBJ,78,High,0.781,1,Month-to-month,DSL,44.0,Offer a term contract; Add Online Security (incentive)
234,4741-WWJQZ,78,High,0.781,2,Month-to-month,Fiber optic,80.15,Offer a term contract; Move to automatic payment
235,8180-AKMJV,78,High,0.7809,1,Month-to-month,DSL,44.55,Offer a term contract; Add Online Security (incentive)
236,6339-YPSAH,78,High,0.7806,9,Month-to-month,Fiber optic,73.8,Offer a term contract; Add Online Security (incentive)
237,8445-DNBAE,78,High,0.7806,1,Month-to-month,DSL,50.05,Offer a term contract; Add Online Security (incentive)
238,5701-YVSVF,78,High,0.7805,11,Month-to-month,Fiber optic,82.9,Offer a term contract; Add Online Security (incentive)
239,2103-ZRXFN,78,High,0.7802,1,Month-to-month,DSL,50.75,Offer a term contract; Add Online Security (incentive)
240,2985-FMWYF,78,High,0.7797,23,Month-to-month,Fiber optic,93.5,Offer a term contract; Add Online Security (incentive)
241,6198-RTPMF,78,High,0.7782,17,Month-to-month,Fiber optic,92.6,Offer a term contract; Add Online Security (incentive)
242,9588-OZDMQ,78,High,0.7781,2,Month-to-month,DSL,45.0,Offer a term contract; Add Online Security (incentive)
243,2275-RBYQS,78,High,0.7778,1,Month-to-month,DSL,45.4,Offer a term contract; Add Online Security (incentive)
244,5628-FCGYG,78,High,0.7776,21,Month-to-month,Fiber optic,84.1,Offer a term contract; Add Online Security (incentive)
245,5652-MSDEY,78,High,0.7772,10,Month-to-month,Fiber optic,75.75,Offer a term contract; Add Online Security (incentive)
246,5968-VXZLG,78,High,0.7768,2,Month-to-month,DSL,46.6,Offer a term contract; Add Online Security (incentive)
247,1751-NCDLI,78,High,0.7768,46,Month-to-month,Fiber optic,98.85,Offer a term contract; Add Online Security (incentive)
248,6116-RFVHN,78,High,0.7767,34,Month-to-month,Fiber optic,100.45,Offer a term contract; Add Online Security (incentive)
249,7379-FNIUJ,78,High,0.7764,2,Month-to-month,Fiber optic,100.2,Offer a term contract; Add Tech Support
250,1226-IENZN,78,High,0.7759,16,Month-to-month,Fiber optic,78.75,Offer a term contract; Add Online Security (incentive)
251,7754-IXRMC,78,High,0.7758,1,Month-to-month,DSL,45.35,Offer a term contract; Add Online Security (incentive)
252,6185-TASNN,78,High,0.7752,1,Month-to-month,DSL,46.3,Offer a term contract; Add Online Security (incentive)
253,2439-LYPMQ,78,High,0.7752,38,Month-to-month,Fiber optic,102.6,Offer a term contract; Add Online Security (incentive)
254,5501-TVMGM,78,High,0.775,1,Month-to-month,DSL,55.25,Offer a term contract; Add Online Security (incentive)
255,2107-FBPTK,77,High,0.7745,30,Month-to-month,Fiber optic,104.1,Offer a term contract; Add Online Security (incentive)
256,3030-YDNRM,77,High,0.7741,8,Month-to-month,Fiber optic,74.85,Offer a term contract; Add Online Security (incentive)
257,2187-PKZAY,77,High,0.7741,12,Month-to-month,Fiber optic,79.95,Offer a term contract; Add Online Security (incentive)
258,2080-CAZNM,77,High,0.7738,41,Month-to-month,Fiber optic,104.4,Offer a term contract; Add Online Security (incentive)
259,5989-PGKJB,77,High,0.7736,16,Month-to-month,Fiber optic,86.25,Offer a term contract; Add Online Security (incentive)
260,8356-WUAOJ,77,High,0.7731,1,Month-to-month,DSL,45.0,Offer a term contract; Add Online Security (incentive)
261,9093-FPDLG,77,High,0.773,11,Month-to-month,Fiber optic,94.2,Offer a term contract; Add Online Security (incentive)
262,9638-JIQYA,77,High,0.7729,2,Month-to-month,DSL,24.9,Offer a term contract; Add Online Security (incentive)
263,0620-DLSLK,77,High,0.7726,13,Month-to-month,Fiber optic,81.9,Offer a term contract; Add Online Security (incentive)
264,9885-AIBVB,77,High,0.7724,29,Month-to-month,Fiber optic,85.8,Offer a term contract; Add Online Security (incentive)
265,5879-SESNB,77,High,0.7722,11,Month-to-month,Fiber optic,75.25,Offer a term contract; Add Online Security (incentive)
266,2424-WVHPL,77,High,0.7722,1,Month-to-month,Fiber optic,74.7,Offer a term contract; Add Online Security (incentive)
267,3365-SAIGS,77,High,0.7708,17,Month-to-month,Fiber optic,83.55,Offer a term contract; Add Online Security (incentive)
268,0420-HLGXF,77,High,0.7708,39,Month-to-month,Fiber optic,99.75,Offer a term contract; Add Online Security (incentive)
269,0674-DGMAQ,77,High,0.7708,32,Month-to-month,Fiber optic,93.5,Offer a term contract; Add Online Security (incentive)
270,0848-ZGQIJ,77,High,0.7699,16,Month-to-month,Fiber optic,94.65,Offer a term contract; Add Online Security (incentive)
271,4537-DKTAL,77,High,0.7698,2,Month-to-month,DSL,45.55,Offer a term contract; Add Online Security (incentive)
272,6923-JHPMP,77,High,0.7697,2,Month-to-month,Fiber optic,80.45,Offer a term contract; Add Tech Support
273,2740-TVLFN,77,High,0.7695,1,Month-to-month,DSL,50.15,Offer a term contract; Add Online Security (incentive)
274,0480-BIXDE,77,High,0.7693,19,Month-to-month,Fiber optic,96.8,Offer a term contract; Add Online Security (incentive)
275,3223-DWFIO,77,High,0.7688,4,Month-to-month,Fiber optic,69.35,Offer a term contract; Add Online Security (incentive)
276,9058-MJLZC,77,High,0.7687,24,Month-to-month,Fiber optic,94.6,Offer a term contract; Add Tech Support
277,0434-CSFON,77,High,0.7686,47,Month-to-month,Fiber optic,100.5,Offer a term contract; Add Online Security (incentive)
278,4853-OITSN,77,High,0.7676,5,Month-to-month,Fiber optic,89.15,Offer a term contract; Add Tech Support
279,9752-ZNQUT,77,High,0.7673,1,Month-to-month,DSL,48.6,Offer a term contract; Add Online Security (incentive)
280,9121-PHQSR,77,High,0.767,16,Month-to-month,Fiber optic,85.05,Offer a term contract; Add Online Security (incentive)
281,2637-FKFSY,77,High,0.7667,3,Month-to-month,DSL,46.1,Offer a term contract; Add Online Security (incentive)
282,0196-JTUQI,77,High,0.7666,9,Month-to-month,Fiber optic,75.2,Offer a term contract; Add Online Security (incentive)
283,2831-EBWRN,77,High,0.7651,4,Month-to-month,DSL,45.9,Offer a term contract; Add Online Security (incentive)
284,6496-JDSSB,76,High,0.7649,8,Month-to-month,Fiber optic,80.0,Offer a term contract; Add Online Security (incentive)
285,9506-UXUSK,76,High,0.7648,13,Month-to-month,Fiber optic,70.15,Offer a term contract; Add Online Security (incentive)
286,3518-PZXZQ,76,High,0.7646,1,Month-to-month,DSL,55.3,Offer a term contract; Add Online Security (incentive)
287,4183-MYFRB,76,High,0.7644,21,Month-to-month,Fiber optic,90.05,Offer a term contract; Add Online Security (incentive)
288,9992-UJOEL,76,High,0.7642,2,Month-to-month,DSL,50.3,Offer a term contract; Add Online Security (incentive)
289,7315-WYOAW,76,High,0.7641,13,Month-to-month,Fiber optic,100.75,Offer a term contract; Add Online Security (incentive)
290,7426-RHZGU,76,High,0.7639,9,Month-to-month,Fiber optic,95.9,Offer a term contract; Add Online Security (incentive)
291,6719-OXYBR,76,High,0.7637,15,Month-to-month,Fiber optic,85.3,Offer a term contract; Add Online Security (incentive)
292,2504-DSHIH,76,High,0.763,23,Month-to-month,Fiber optic,86.8,Offer a term contract; Add Online Security (incentive)
293,1475-VWVDO,76,High,0.7629,7,Month-to-month,Fiber optic,74.9,Offer a term contract; Add Online Security (incentive)
294,4137-BTIKL,76,High,0.7629,2,Month-to-month,Fiber optic,90.75,Offer a term contract; Add Tech Support
295,5692-ICXLW,76,High,0.7628,31,Month-to-month,Fiber optic,90.7,Offer a term contract; Add Online Security (incentive)
296,1730-ZMAME,76,High,0.7627,32,Month-to-month,Fiber optic,79.5,Offer a term contract; Add Online Security (incentive)
297,5233-AOZUF,76,High,0.7627,29,Month-to-month,Fiber optic,74.95,Offer a term contract; Add Online Security (incentive)
298,1307-ATKGB,76,High,0.7627,24,Month-to-month,Fiber optic,89.55,Offer a term contract; Add Online Security (incentive)
299,1942-OQFRW,76,High,0.7621,1,Month-to-month,DSL,44.0,Offer a term contract; Add Online Security (incentive)
300,6034-YMTOB,76,High,0.7616,5,Month-to-month,Fiber optic,75.65,Offer a term contract; Add Online Security (incentive)
301,0082-LDZUE,76,High,0.7605,1,Month-to-month,DSL,44.3,Offer a term contract; Add Online Security (incentive)
302,5022-KVDQT,76,High,0.7604,27,Month-to-month,Fiber optic,81.3,Offer a term contract; Add Online Security (incentive)
303,4536-PLEQY,76,High,0.7601,12,Month-to-month,Fiber optic,85.05,Offer a term contract; Add Online Security (incentive)
304,3427-GGZZI,76,High,0.7599,19,Month-to-month,Fiber optic,89.1,Offer a term contract; Add Online Security (incentive)
305,2277-VWCNI,76,High,0.7595,4,Month-to-month,DSL,48.75,Offer a term contract; Add Online Security (incentive)
306,5858-EAFCZ,76,High,0.7591,1,Month-to-month,DSL,44.45,Offer a term contract; Add Online Security (incentive)
307,5650-YLIBA,76,High,0.7585,31,Month-to-month,Fiber optic,81.15,Offer a term contract; Add Online Security (incentive)
308,3904-UKFRE,76,High,0.7583,4,Month-to-month,Fiber optic,80.1,Offer a term contract; Add Tech Support
309,8695-ARGXZ,76,High,0.758,34,Month-to-month,Fiber optic,75.55,Offer a term contract; Add Online Security (incentive)
310,8012-SOUDQ,76,High,0.7579,43,Month-to-month,Fiber optic,90.25,Offer a term contract; Add Online Security (incentive)
311,4236-UJPWO,76,High,0.7577,2,Month-to-month,DSL,24.5,Offer a term contract; Add Online Security (incentive)
312,7442-YGZFK,76,High,0.7575,1,Month-to-month,DSL,49.8,Offer a term contract; Add Online Security (incentive)
313,9244-ZVAPM,76,High,0.757,1,Month-to-month,DSL,45.6,Offer a term contract; Add Online Security (incentive)
314,0315-LVCRK,76,High,0.757,11,Month-to-month,Fiber optic,84.8,Offer a term contract; Add Online Security (incentive)
315,8818-DOPVL,76,High,0.757,46,Month-to-month,Fiber optic,104.45,Offer a term contract; Add Online Security (incentive)
316,9053-EJUNL,76,High,0.7568,41,Month-to-month,Fiber optic,89.2,Offer a term contract; Add Online Security (incentive)
317,7801-KICAO,76,High,0.7566,18,Month-to-month,Fiber optic,74.15,Offer a term contract; Add Online Security (incentive)
318,3050-GBUSH,76,High,0.7566,3,Month-to-month,DSL,34.8,Offer a term contract; Add Online Security (incentive)
319,2672-OJQZP,76,High,0.7563,1,Month-to-month,DSL,44.75,Offer a term contract; Add Online Security (incentive)
320,4273-MBHYA,76,High,0.7557,1,Month-to-month,Fiber optic,89.35,Offer a term contract; Add Online Security (incentive)
321,5271-DBYSJ,76,High,0.7557,11,Month-to-month,Fiber optic,79.15,Offer a term contract; Add Online Security (incentive)
322,3384-CTMSF,76,High,0.7556,47,Month-to-month,Fiber optic,104.1,Offer a term contract; Add Online Security (incentive)
323,6542-LWGXJ,76,High,0.7553,3,Month-to-month,DSL,25.0,Offer a term contract; Add Online Security (incentive)
324,3088-LHEFH,75,High,0.7549,11,Month-to-month,Fiber optic,79.0,Offer a term contract; Add Tech Support
325,9208-OLGAQ,75,High,0.7549,18,Month-to-month,Fiber optic,84.95,Offer a term contract; Add Online Security (incentive)
326,0988-JRWWP,75,High,0.7546,3,Month-to-month,DSL,54.2,Offer a term contract; Add Online Security (incentive)
327,6582-OIVSP,75,High,0.754,1,Month-to-month,DSL,45.3,Offer a term contract; Add Online Security (incentive)
328,5035-BVCXS,75,High,0.7536,11,Month-to-month,Fiber optic,75.9,Offer a term contract; Add Online Security (incentive)
329,9432-VOFYX,75,High,0.7529,17,Month-to-month,Fiber optic,70.8,Offer a term contract; Add Online Security (incentive)
330,0508-OOLTO,75,High,0.7528,2,Month-to-month,Fiber optic,71.65,Offer a term contract; Add Online Security (incentive)
331,4612-SSVHJ,75,High,0.7527,20,Month-to-month,Fiber optic,81.45,Offer a term contract; Add Online Security (incentive)
332,6103-BOCOU,75,High,0.752,26,Month-to-month,Fiber optic,80.7,Offer a term contract; Add Online Security (incentive)
333,0491-KAPQG,75,High,0.7518,21,Month-to-month,Fiber optic,73.7,Offer a term contract; Add Online Security (incentive)
334,3966-HRMZA,75,High,0.7518,3,Month-to-month,Fiber optic,75.05,Offer a term contract; Add Online Security (incentive)
335,5153-RTHKF,75,High,0.7517,34,Month-to-month,Fiber optic,85.35,Offer a term contract; Add Online Security (incentive)
336,6650-VJONK,75,High,0.7513,1,Month-to-month,DSL,43.85,Offer a term contract; Add Online Security (incentive)
337,6833-JMZYP,75,High,0.751,15,Month-to-month,Fiber optic,94.0,Offer a term contract; Add Online Security (incentive)
338,7278-CKDNC,75,High,0.751,24,Month-to-month,Fiber optic,80.5,Offer a term contract; Add Online Security (incentive)
339,4146-SVFUD,75,High,0.7503,1,Month-to-month,DSL,44.6,Offer a term contract; Add Online Security (incentive)
340,2665-NPTGL,75,High,0.7503,26,Month-to-month,Fiber optic,98.1,Offer a term contract; Add Online Security (incentive)
341,9494-MRNYX,75,High,0.7498,10,Month-to-month,Fiber optic,75.05,Offer a term contract; Add Online Security (incentive)
342,2969-QWUBZ,75,High,0.7493,2,Month-to-month,DSL,51.4,Offer a term contract; Add Online Security (incentive)
343,8104-OSKWT,75,High,0.7492,12,Month-to-month,Fiber optic,79.8,Offer a term contract; Add Tech Support
344,5365-LLFYV,75,High,0.7482,2,Month-to-month,DSL,45.85,Offer a term contract; Add Online Security (incentive)
345,7422-WNBTY,75,High,0.7482,33,Month-to-month,Fiber optic,93.35,Offer a term contract; Add Online Security (incentive)
346,8486-AYEQH,75,High,0.7481,31,Month-to-month,Fiber optic,76.05,Offer a term contract; Add Online Security (incentive)
347,3995-WFCSM,75,High,0.748,2,Month-to-month,DSL,60.85,Offer a term contract; Add Online Security (incentive)
348,2325-NBPZG,75,High,0.7479,3,Month-to-month,Fiber optic,74.55,Offer a term contract; Add Tech Support
349,3914-FDRHP,75,High,0.7473,9,Month-to-month,Fiber optic,86.25,Offer a term contract; Add Online Security (incentive)
350,4854-CIDCF,75,High,0.7472,3,Month-to-month,Fiber optic,73.85,Offer a term contract; Add Online Security (incentive)
351,5226-NOZFC,75,High,0.7469,26,Month-to-month,Fiber optic,85.75,Offer a term contract; Add Online Security (incentive)
352,2603-HVKCG,75,High,0.7466,31,Month-to-month,Fiber optic,101.4,Offer a term contract; Add Online Security (incentive)
353,6907-FLBER,75,High,0.7466,1,Month-to-month,DSL,54.3,Offer a term contract; Add Online Security (incentive)
354,3951-NJCVI,75,High,0.7464,42,Month-to-month,Fiber optic,95.05,Offer a term contract; Add Online Security (incentive)
355,1471-GIQKQ,75,High,0.7459,1,Month-to-month,DSL,49.95,Offer a term contract; Add Online Security (incentive)
356,9895-VFOXH,75,High,0.7456,1,Month-to-month,DSL,24.4,Offer a term contract; Add Online Security (incentive)
357,4291-SHSBH,75,High,0.7454,7,Month-to-month,Fiber optic,69.55,Offer a term contract; Add Online Security (incentive)
358,1636-NTNCO,75,High,0.7453,4,Month-to-month,DSL,50.95,Offer a term contract; Add Online Security (incentive)
359,5666-CYCYZ,75,High,0.7451,24,Month-to-month,Fiber optic,89.55,Offer a term contract; Add Online Security (incentive)
360,6212-ATMLK,74,High,0.745,50,Month-to-month,Fiber optic,95.7,Offer a term contract; Add Online Security (incentive)
361,4521-YEEHE,74,High,0.7446,18,Month-to-month,Fiber optic,88.85,Offer a term contract; Add Online Security (incentive)
362,2920-RNCEZ,74,High,0.7444,1,Month-to-month,Fiber optic,69.95,Offer a term contract; Add Online Security (incentive)
363,4480-QQRHC,74,High,0.7444,8,Month-to-month,Fiber optic,74.05,Offer a term contract; Add Online Security (incentive)
364,8189-XRIKE,74,High,0.7442,32,Month-to-month,Fiber optic,90.95,Offer a term contract; Add Online Security (incentive)
365,0374-IOEGQ,74,High,0.7441,3,Month-to-month,DSL,44.6,Offer a term contract; Add Online Security (incentive)
366,1251-STYSZ,74,High,0.7435,4,Month-to-month,Fiber optic,80.25,Offer a term contract; Add Tech Support
367,8849-AYPTR,74,High,0.7432,33,Month-to-month,Fiber optic,91.25,Offer a term contract; Add Online Security (incentive)
368,2209-XADXF,74,High,0.7432,1,Month-to-month,DSL,25.25,Offer a term contract; Add Online Security (incentive)
369,3961-SXAXY,74,High,0.7424,1,Month-to-month,DSL,44.05,Offer a term contract; Add Online Security (incentive)
370,3588-WSTTJ,74,High,0.7412,35,Month-to-month,Fiber optic,99.05,Offer a term contract; Add Tech Support
371,4686-UXDML,74,High,0.7407,21,Month-to-month,Fiber optic,99.85,Offer a term contract; Add Online Security (incentive)
372,3703-KBKZP,74,High,0.7406,16,Month-to-month,Fiber optic,74.45,Offer a term contract; Add Online Security (incentive)
373,5439-WIKXB,74,High,0.7406,41,Month-to-month,Fiber optic,94.55,Offer a term contract; Add Online Security (incentive)
374,5600-KTXFM,74,High,0.7405,2,Month-to-month,Fiber optic,69.95,Offer a term contract; Add Online Security (incentive)
375,3798-EPWRR,74,High,0.7404,2,Month-to-month,DSL,43.95,Offer a term contract; Add Online Security (incentive)
376,3481-JHUZH,74,High,0.7401,41,Month-to-month,Fiber optic,80.25,Offer a term contract; Add Online Security (incentive)
377,2862-PFNIK,74,High,0.7401,1,Month-to-month,DSL,24.7,Offer a term contract; Add Online Security (incentive)
378,1212-GLHMD,74,High,0.7394,3,Month-to-month,Fiber optic,86.05,Offer a term contract; Add Tech Support
379,9903-LYSAB,74,High,0.7393,18,Month-to-month,Fiber optic,73.15,Offer a term contract; Add Online Security (incentive)
380,0793-TWELN,74,High,0.7389,4,Month-to-month,Fiber optic,80.15,Offer a term contract; Add Tech Support
381,0899-LIIBW,74,High,0.7382,34,Month-to-month,Fiber optic,100.85,Offer a term contract; Add Online Security (incentive)
382,1478-VPOAD,74,High,0.7382,1,Month-to-month,DSL,43.8,Offer a term contract; Add Online Security (incentive)
383,7714-YXSMB,74,High,0.7381,26,Month-to-month,Fiber optic,100.5,Offer a term contract; Add Online Security (incentive)
384,0650-BWOZN,74,High,0.7378,18,Month-to-month,Fiber optic,73.55,Offer a term contract; Add Online Security (incentive)
385,5760-FXFVO,74,High,0.7371,6,Month-to-month,Fiber optic,78.95,Offer a term contract; Add Tech Support
386,2675-OTVVJ,74,High,0.737,31,Month-to-month,Fiber optic,89.45,Offer a term contract; Add Tech Support
387,9274-UARKJ,74,High,0.737,15,Month-to-month,Fiber optic,83.2,Offer a term contract; Add Online Security (incentive)
388,1302-UHBDD,74,High,0.737,20,Month-to-month,Fiber optic,89.95,Offer a term contract; Add Online Security (incentive)
389,3956-MGXOG,74,High,0.7368,28,Month-to-month,Fiber optic,80.6,Offer a term contract; Add Online Security (incentive)
390,9279-CJEOJ,74,High,0.7365,21,Month-to-month,Fiber optic,95.4,Offer a term contract; Add Online Security (incentive)
391,0439-IFYUN,74,High,0.7363,18,Month-to-month,Fiber optic,74.7,Offer a term contract; Add Online Security (incentive)
392,0147-ESWWR,74,High,0.7361,39,Month-to-month,Fiber optic,101.25,Offer a term contract; Add Online Security (incentive)
393,4998-IKFSE,74,High,0.736,30,Month-to-month,Fiber optic,100.45,Offer a term contract; Add Online Security (incentive)
394,5019-GQVCR,74,High,0.7356,43,Month-to-month,Fiber optic,84.85,Offer a term contract; Add Online Security (incentive)
395,2523-EWWZL,74,High,0.7351,27,Month-to-month,Fiber optic,76.1,Offer a term contract; Add Online Security (incentive)
396,7901-HXJVA,73,High,0.7347,14,Month-to-month,Fiber optic,76.45,Offer a term contract; Add Online Security (incentive)
397,6242-MBHPK,73,High,0.734,23,Month-to-month,Fiber optic,95.1,Offer a term contract; Add Tech Support
398,5606-AMZBO,73,High,0.7337,10,Month-to-month,Fiber optic,78.15,Offer a term contract; Add Tech Support
399,6145-NNPNO,73,High,0.7335,1,Month-to-month,DSL,44.15,Offer a term contract; Add Online Security (incentive)
400,5482-VXSXJ,73,High,0.7331,22,Month-to-month,Fiber optic,93.2,Offer a term contract; Add Online Security (incentive)
401,7586-ZATGZ,73,High,0.733,40,Month-to-month,Fiber optic,84.9,Offer a term contract; Add Online Security (incentive)
402,4065-JJAVA,73,High,0.7324,1,Month-to-month,DSL,49.5,Offer a term contract; Add Online Security (incentive)
403,5899-OUVKV,73,High,0.7316,31,Month-to-month,Fiber optic,94.5,Offer a term contract; Add Online Security (incentive)
404,7404-JLKQG,73,High,0.7315,3,Month-to-month,DSL,57.55,Offer a term contract; Add Online Security (incentive)
405,8819-IMISP,73,High,0.7315,31,Month-to-month,Fiber optic,80.45,Offer a term contract; Add Online Security (incentive)
406,4583-PARNH,73,High,0.7315,16,Month-to-month,Fiber optic,91.55,Offer a term contract; Add Online Security (incentive)
407,5857-TYBCJ,73,High,0.7313,44,Month-to-month,Fiber optic,89.2,Offer a term contract; Add Online Security (incentive)
408,0570-BFQHT,73,High,0.7312,9,Month-to-month,Fiber optic,80.55,Offer a term contract; Add Online Security (incentive)
409,5522-JBWMO,73,High,0.731,1,Month-to-month,DSL,44.0,Offer a term contract; Add Online Security (incentive)
410,5119-KEPFY,73,High,0.7307,36,Month-to-month,Fiber optic,95.0,Offer a term contract; Add Online Security (incentive)
411,1536-HBSWP,73,High,0.7306,1,Month-to-month,DSL,49.9,Offer a term contract; Add Online Security (incentive)
412,4299-SIMNS,73,High,0.7303,9,Month-to-month,Fiber optic,81.15,Offer a term contract; Add Tech Support
413,9355-NPPFS,73,High,0.7302,26,Month-to-month,Fiber optic,78.8,Offer a term contract; Add Online Security (incentive)
414,1769-GRUIK,73,High,0.7296,18,Month-to-month,Fiber optic,71.1,Offer a term contract; Add Online Security (incentive)
415,3716-UVSPD,73,High,0.7294,1,Month-to-month,DSL,49.3,Offer a term contract; Add Online Security (incentive)
416,1384-RCUXW,73,High,0.7291,16,Month-to-month,Fiber optic,80.55,Offer a term contract; Add Online Security (incentive)
417,1391-UBDAR,73,High,0.7289,11,Month-to-month,Fiber optic,72.9,Offer a term contract; Add Online Security (incentive)
418,8660-BUETV,73,High,0.7286,3,Month-to-month,DSL,44.75,Offer a term contract; Add Online Security (incentive)
419,9572-WUKSB,73,High,0.7286,3,Month-to-month,DSL,29.9,Offer a term contract; Add Online Security (incentive)
420,0817-HSUSE,73,High,0.7285,1,Month-to-month,DSL,75.5,Offer a term contract; Add Online Security (incentive)
421,1728-BQDMA,73,High,0.7279,2,Month-to-month,DSL,44.45,Offer a term contract; Add Online Security (incentive)
422,2903-YYTBW,73,High,0.7277,1,Month-to-month,DSL,44.55,Offer a term contract; Add Online Security (incentive)
423,7508-SMHXL,73,High,0.7267,15,Month-to-month,Fiber optic,89.0,Offer a term contract; Add Online Security (incentive)
424,7339-POGZN,73,High,0.7267,4,Month-to-month,DSL,50.7,Offer a term contract; Add Online Security (incentive)
425,6048-QBXKL,73,High,0.7266,2,Month-to-month,DSL,56.55,Offer a term contract; Add Online Security (incentive)
426,5144-TVGLP,73,High,0.7252,38,Month-to-month,Fiber optic,94.75,Offer a term contract; Add Online Security (incentive)
427,1104-TNLZA,72,High,0.725,28,Month-to-month,Fiber optic,105.8,Offer a term contract; Add Online Security (incentive)
428,5630-IXDXV,72,High,0.725,47,Month-to-month,Fiber optic,106.35,Offer a term contract; Add Online Security (incentive)
429,4690-PKDQG,72,High,0.7249,42,Month-to-month,Fiber optic,95.55,Offer a term contract; Add Online Security (incentive)
430,1932-UEDCX,72,High,0.7245,33,Month-to-month,Fiber optic,100.6,Offer a term contract; Add Online Security (incentive)
431,2694-CIUMO,72,High,0.7241,12,Month-to-month,Fiber optic,79.55,Offer a term contract; Add Online Security (incentive)
432,0139-IVFJG,72,High,0.724,2,Month-to-month,Fiber optic,90.35,Offer a term contract; Add Tech Support
433,5960-MVTUK,72,High,0.724,3,Month-to-month,DSL,29.75,Offer a term contract; Add Online Security (incentive)
434,8270-RKSAP,72,High,0.7237,9,Month-to-month,Fiber optic,70.5,Offer a term contract; Add Online Security (incentive)
435,3955-JBZZM,72,High,0.7235,20,Month-to-month,Fiber optic,78.8,Offer a term contract; Add Online Security (incentive)
436,7252-NTGSS,72,High,0.7231,1,Month-to-month,DSL,45.15,Offer a term contract; Add Online Security (incentive)
437,4223-WOZCM,72,High,0.723,2,Month-to-month,DSL,49.95,Offer a term contract; Add Online Security (incentive)
438,5016-IBERQ,72,High,0.7222,23,Month-to-month,Fiber optic,84.25,Offer a term contract; Add Online Security (incentive)
439,0411-EZJZE,72,High,0.7219,3,Month-to-month,DSL,60.25,Offer a term contract; Add Online Security (incentive)
440,8654-DHAOW,72,High,0.7219,2,Month-to-month,DSL,54.15,Offer a term contract; Add Online Security (incentive)
441,2018-QKYGT,72,High,0.7217,1,Month-to-month,Fiber optic,81.05,Offer a term contract; Add Online Security (incentive)
442,0682-USIXD,72,High,0.72,21,Month-to-month,Fiber optic,86.05,Offer a term contract; Add Online Security (incentive)
443,0093-EXYQL,72,High,0.7199,40,Month-to-month,Fiber optic,91.55,Offer a term contract; Add Online Security (incentive)
444,1016-DJTSV,72,High,0.7194,8,Month-to-month,Fiber optic,69.7,Offer a term contract; Add Online Security (incentive)
445,7020-OZKXZ,72,High,0.7193,9,Month-to-month,Fiber optic,75.5,Offer a term contract; Add Online Security (incentive)
446,5948-UJZLF,72,High,0.7193,2,Month-to-month,DSL,49.25,Offer a term contract; Add Online Security (incentive)
447,6158-HDPXZ,72,High,0.7192,1,Month-to-month,DSL,25.35,Offer a term contract; Add Online Security (incentive)
448,9576-SYUHJ,72,High,0.719,37,Month-to-month,Fiber optic,91.15,Offer a term contract; Add Tech Support
449,5339-PXDVH,72,High,0.7185,4,Month-to-month,Fiber optic,90.65,Offer a term contract; Add Tech Support
450,8805-JNRAZ,72,High,0.7182,2,Month-to-month,DSL,49.2,Offer a term contract; Add Online Security (incentive)
451,3748-FVMZZ,72,High,0.7182,4,Month-to-month,DSL,40.05,Offer a term contract; Add Online Security (incentive)
452,6817-WTYHE,72,High,0.7181,2,Month-to-month,DSL,44.9,Offer a term contract; Add Online Security (incentive)
453,3352-ALMCK,72,High,0.718,40,Month-to-month,Fiber optic,102.65,Offer a term contract; Add Online Security (incentive)
454,6988-CJEYV,72,High,0.7178,49,Month-to-month,Fiber optic,98.7,Offer a term contract; Add Online Security (incentive)
455,3196-NVXLZ,72,High,0.7175,25,Month-to-month,Fiber optic,84.6,Offer a term contract; Add Online Security (incentive)
456,3211-AAPKX,72,High,0.7173,20,Month-to-month,Fiber optic,98.55,Offer a term contract; Add Online Security (incentive)
457,7901-TBKJX,72,High,0.7172,56,Month-to-month,Fiber optic,101.05,Offer a term contract; Add Online Security (incentive)
458,5453-AXEPF,72,High,0.7165,17,Month-to-month,Fiber optic,80.5,Offer a term contract; Add Online Security (incentive)
459,3312-UUMZW,72,High,0.7164,32,Month-to-month,Fiber optic,98.85,Offer a term contract; Add Online Security (incentive)
460,1845-ZLLIG,72,High,0.7162,1,Month-to-month,DSL,50.15,Offer a term contract; Add Online Security (incentive)
461,9921-QFQUL,72,High,0.7154,23,Month-to-month,Fiber optic,90.15,Offer a term contract; Add Online Security (incentive)
462,1580-BMCMR,72,High,0.7151,19,Month-to-month,Fiber optic,87.3,Offer a term contract; Add Tech Support
463,0114-PEGZZ,72,High,0.715,33,Month-to-month,Fiber optic,107.55,Offer a term contract; Add Online Security (incentive)
464,2916-BQZLN,71,High,0.7149,19,Month-to-month,Fiber optic,84.75,Offer a term contract; Add Tech Support
465,4727-MCYZG,71,High,0.7145,1,Month-to-month,DSL,55.55,Offer a term contract; Add Online Security (incentive)
466,1635-FJFCC,71,High,0.7144,5,Month-to-month,DSL,44.05,Offer a term contract; Add Online Security (incentive)
467,7410-OIEDU,71,High,0.7143,10,Month-to-month,Fiber optic,79.85,Offer a term contract; Add Tech Support
468,3439-GVUSX,71,High,0.7139,1,Month-to-month,DSL,24.4,Offer a term contract; Add Online Security (incentive)
